Topic,Count,Name,Representation,Representative_Docs,Channel
-1,7,-1_ice_addresses_attacks_congressional,"['ice', 'addresses', 'attacks', 'congressional', 'cancer', 'call', 'dad', 'hide', 'custody', 'candidate']","['Coyote attacks 9-year-old playing hide-and-seek in Oregon', 'Progressive congressional candidate indicted in connection with ICE protest', 'Dad released from ICE custody reunites with cancer-stricken daughter']",ABC News
0,18,0_2025_october_abc_news,"['2025', 'october', 'abc', 'news', 'broadcast', 'full', '29', 'live', '30', 'good']","['Good Morning America Full Broadcast —  Wednesday, October 29, 2025', 'ABC News Live Prime: October 29, 2025', 'ABC News Live Prime: October 29, 2025']",ABC News
1,15,1_benefits_snap_set_food,"['benefits', 'snap', 'set', 'food', 'to', 'as', 'for', 'million', 'federal', 'americans']","['Government shutdown triggers food crisis for 40+ million Americans on SNAP benefits', 'SNAP benefits set to run out due to government shutdown', 'Food banks across the country bracing for a rush as 42 million Americans set to lose SNAP benefits']",ABC News
2,13,2_trump_to_china_xi,"['trump', 'to', 'china', 'xi', 'nuclear', 'meeting', 'pentagon', 'end', 'high', 'be']","['Trump directs Pentagon to match Russia, China in nuclear weapons testing', 'Trump says some tariffs on China will be lowered after meeting with Xi', 'High-stakes Trump, Xi meeting in South Korea to discuss tariffs, rare earth minerals']",ABC News
3,12,3_melissa_hurricane_after_jamaica,"['melissa', 'hurricane', 'after', 'jamaica', 'relief', 'underway', 'toll', 'storm', 'northeast', 'caribbean']","['Hurricane Melissa on the move after slamming Jamaica', 'Urgent search and recovery underway in Jamaica after Hurricane Melissa', 'Relief effort underway in Kingston, Jamaica, after Hurricane Melissa']",ABC News
4,10,4_guilty_massey_sonya_of,"['guilty', 'massey', 'sonya', 'of', 'deputy', 'jury', 'jan', 'finds', 'leave', 'murder']","[""Former Illinois deputy found guilty of murder in Sonya Massey's death"", 'Attorneys speak after jury finds Sean Grayson guilty of murdering Sonya Massey', 'Jury finds ex-deputy guilty of murder in Sonya Massey shooting']",ABC News
5,6,5_sudan_darfur_evidence_blood,"['sudan', 'darfur', 'evidence', 'blood', 'genocide', 'visible', 'shows', 'space', 'paramilitary', 'in']","['Paramilitary group RSF seizes control of key city in Sudan', 'Blood visible from space in Sudan shows evidence of Darfur genocide: Analysts', 'Blood visible from space in Sudan shows evidence of Darfur genocide']",ABC News
6,6,6_prince_andrew_royal_title,"['prince', 'andrew', 'royal', 'title', 'stripped', 'of', 'charles', 'buckingham', 'king', 'palace']","[""King Charles strips all of Prince Andrew's royal titles amid Epstein scandal"", 'Prince Andrew has been stripped of his ""prince"" title, Buckingham Palace announces', ""Prince Andrew stripped of his 'prince' title, per Buckingham Palace""]",ABC News
7,5,7_new_roberts_her_and,"['new', 'roberts', 'her', 'and', 'the', 'on', 'album', 'film', 'fighter', 'fatherhood']","['Michelle Obama: The Style, The Power, The Look – A Conversation with Robin Roberts - Trailer', 'Demi Lovato on her new album, tour and life as a newlywed', 'ABC News’ Deborah Roberts on her new book ‘Sisters Loved and Treasured’']",ABC News
8,4,8_halloween_candy_house_white,"['halloween', 'candy', 'house', 'white', 'for', 'at', 'guide', 'celebration', 'dentist', '75']","[""A dentist's survival guide for parents on Halloween candy"", 'Trumps host Halloween celebration at the White House', 'President Trump and Melania pass out candy for Halloween at the White House']",ABC News
9,4,9_dog_police_braving_back,"['dog', 'police', 'braving', 'back', 'arrest', 'detainers', 'designed', 'first', 'escapes', 'housekeeping']","['Police officer on braving icy waters to rescue injured dog', 'Man with multiple arrest warrants, ICE detainers escapes police while handcuffed', 'Dog owner uses smelly socks to lure lost pet back home']",ABC News
-1,19,-1_prince_in_andrew_responds,"['prince', 'in', 'andrew', 'responds', 'title', 'virginia', 'and', 'to', 'calling', 'giuffre']","['Prince Andrew to be stripped of ‘prince’ title and evicted from royal mansion', ""Virginia Giuffre's family reacts to Andrew being stripped of 'prince' title"", ""Virginia Giuffre's brother responds to Andrew losing 'prince' title""]",CNN
0,15,0_melissa_hurricane_jamaica_after,"['melissa', 'hurricane', 'jamaica', 'after', 'black', 'river', 'and', 'in', 'homeless', 'city']","['Black River, Jamaica residents search for resources after hurricane', 'Jamaica in Crisis After Hurricane Melissa', 'CNN is on the ground in Black River, Jamaica after Hurricane Melissa makes landfall']",CNN
1,13,1_trump_xi_china_the,"['trump', 'xi', 'china', 'the', 'deal', 'asia', 'analysis', 'his', 'leaders', 'january']","['China’s Xi in the limelight as Trump leaves summit early', ""Max Boot: Trump talks to Xi like arsonist saying he's going to put out the fire"", '‘He’s basically reset the clock to January’: David Sanger reacts to Trump’s trade deal with China']",CNN
2,12,2_halloween_fbi_house_leads,"['halloween', 'fbi', 'house', 'leads', 'white', 'potential', 'the', 'attack', 'this', 'at']","[""See kid costumes at this year's White House Halloween event"", 'FBI director says ‘potential terrorist attack’ over Halloween weekend was averted', 'Halloween at the White House over the years']",CNN
3,10,3_snap_food_judges_benefits,"['snap', 'food', 'judges', 'benefits', 'must', 'judge', 'assistance', 'some', 'admin', 'stand']","[""Judge indicates she'll intervene in fight over SNAP food assistance money"", 'Judges: Trump admin must use emergency funds to pay some SNAP benefits', 'Two federal judges rule Trump admin must cover some SNAP benefits']",CNN
4,8,4_by_old_teacher_student,"['by', 'old', 'teacher', 'student', 'year', 'shot', 'sudan', 'in', 'draft', 'against']","['Video shows wounded teacher after being shot by 6-year-old student', 'Teacher recounts moment she was shot by 6-year-old student', 'Teacher shot by her 6-year-old student takes the stand in civil trial']",CNN
5,7,5_nuclear_testing_us_trump,"['nuclear', 'testing', 'us', 'trump', 'boats', 'drug', 'alleged', 'blindsided', 'deception', 'doctor']","['Some of Trump’s advisers blindsided as he declares plans for new US nuclear tests', 'Why is the US restarting nuclear weapon testing?', 'Trump says US will resume nuclear testing']",CNN
6,7,6_shutdown_filibuster_trump_senate,"['shutdown', 'filibuster', 'trump', 'senate', 'gop', 'end', 'abolish', 'on', 'as', 'frustrations']","['Thune erupts on Senate floor as frustrations mount over shutdown', 'Speaker Johnson issues warning after Trump says GOP should end the filibuster', 'Trump calls on GOP to abolish filibuster to end shutdown']",CNN
7,5,7_mamdani_anderson_blasio_de,"['mamdani', 'anderson', 'blasio', 'de', 'one', 'zohran', 'cooper', 'bill', 'with', 'imposter']","['Bill de Blasio on imposter who duped newspaper with Mamdani attack', ""'It really was a surreal feeling': Bill de Blasio reacts to impersonator criticizing Mamdani"", 'A closer look: Zohran Mamdani one-on-one with Anderson Cooper']",CNN
8,4,8_governor_campaign_candidates_democratic,"['governor', 'campaign', 'candidates', 'democratic', 'could', 'even', 'four', 'latinos', 'jersey', 'problem']","[""Why Latinos could swing the New Jersey Governor's race"", 'Obama to return to campaign trail for Democratic governor candidates', 'Four-time governor: ‘This was not even a problem until Trump started it’']",CNN
-1,18,-1_trump_this_the_of,"['trump', 'this', 'the', 'of', 'gutfeld', 'kilmeade', 'nuke', 'brian', 'show', 'state']","[""WATCH: Trump ally predicts 'magnificent' victory in blue state as early voting surges"", 'Trump back from Asia as shutdown blame game continues | Brian Kilmeade Show', '‘Gutfeld!’: Trump should wear this to the State of the Union']",Fox News
0,17,0_fox_news_nyc_foxnews,"['fox', 'news', 'nyc', 'foxnews', 'ny', 'at', 'shorts', 'in', 'floodwaters', 'blm']","['SEE IT: Military families line up at food banks as shutdown drags on #foxnews #news #us #fox', 'WATCH: Floodwaters rush streets in NY as heavy rain triggers flash flood warnings #shorts #usa #nyc', 'Two dead after floodwaters rip through NYC #foxnews #news #us #fox #nyc #newyork']",Fox News
