Channel,Video ID,Title,Published,Views,Likes,Comments,Duration,sentiment,confidence,positive_score,neutral_score,negative_score
ABC News,QWhBHJfVaN0,SNAP benefits set to run out due to government shutdown,2025-10-31T23:00:40Z,52945,744,243,PT42S,NEGATIVE,0.616748034954071,0.016672996804118156,0.3665790557861328,0.616748034954071
ABC News,pHIbuFQapLc,The history behind daylight saving time,2025-10-31T21:26:21Z,27091,260,7,PT1M3S,NEUTRAL,0.8896589279174805,0.06116088852286339,0.8896589279174805,0.04918026551604271
ABC News,fOU8qXMoUaw,Blood visible from space in Sudan shows evidence of Darfur genocide,2025-10-31T20:59:30Z,158978,2477,179,PT2M15S,NEGATIVE,0.8079149127006531,0.007284108549356461,0.18480101227760315,0.8079149127006531
ABC News,LnxWSjNeC4s,Blood visible from space in Sudan shows evidence of Darfur genocide: Analysts,2025-10-31T19:04:45Z,77483,511,343,PT3M19S,NEGATIVE,0.7053854465484619,0.008248320780694485,0.28636622428894043,0.7053854465484619
ABC News,NbwWV1yA--E,Judge rules Trump's attempt to suspend SNAP funding is unlawful,2025-10-31T18:34:49Z,674022,1788,2006,PT1M19S,NEGATIVE,0.6985673904418945,0.013164547272026539,0.2882680594921112,0.6985673904418945
ABC News,Ha8TU_W4UAI,"Good Morning America Full Broadcast —  Friday, October 31, 2025",2025-10-31T17:30:04Z,62002,437,58,PT1H10M35S,POSITIVE,0.6197851300239563,0.6197851300239563,0.3769465982913971,0.0032683575991541147
ABC News,zXhpJnR5_3k,'It was terrifying': Couple help secure girl on roller coaster after alleged seatbelt malfunction,2025-10-31T17:04:36Z,940044,8390,2178,PT1M45S,NEGATIVE,0.6060715317726135,0.03175405040383339,0.36217445135116577,0.6060715317726135
ABC News,xl1-2aqghsE,Police officer on braving icy waters to rescue injured dog,2025-10-31T16:53:32Z,6555,161,63,PT3M50S,NEUTRAL,0.792902410030365,0.07023302465677261,0.792902410030365,0.13686460256576538
ABC News,UqPaVXMUFyY,Speaker Johnson dodges question about Trump's request to end filibuster,2025-10-31T16:07:47Z,252198,1337,1302,PT3M30S,NEUTRAL,0.8419692516326904,0.021352263167500496,0.8419692516326904,0.13667848706245422
ABC News,iV-YUVl_xUU,'Trick or Treat for UNICEF' celebrates 75 years,2025-10-31T15:30:36Z,1083,20,3,PT4M38S,POSITIVE,0.7105859518051147,0.7105859518051147,0.28538161516189575,0.004032460041344166
